,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
0,COMMERCIAL NEW BUILDING,1043 GAINESVILLE HWY,"85,000",8/10/23,30X45 CONDITIONED STORAGE UNIT / STORAGE 53,PLAN REVIEW $240.00,XX080  074B,34.051345,-83.71597
1,COMMERCIAL NEW BUILDING,290 CLIFF DAY RD,"6,000,000",12/6/23,KING STEEL SHELL BUILDING,PLAN REVIEW $4581.00,XX092  024A,33.9754188,-83.6804496
2,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"220,000",2/3/23,60x120 CONDITIONED SELF STORAGE / BLDG A,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
3,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"75,000",1/31/23,30X120 NON CONDITIONED / BLDG B,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
4,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"75,000",1/31/23,30X120 NON CONDITIONED / BLDG C,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
5,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"75,000",1/31/23,20X120 NON CONDITIONED / BLDG D,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
6,COMMERCIAL NEW BUILDING,559 SMITH CEMETERY ROAD,"75,000",1/31/23,20X120 NON CONDITIONED / BLDG E,PLAN REVIEW $484.00,XX096  001A,33.9553366,-83.6869043
7,COMMERCIAL NEW BUILDING,952 FRED KILCREASE RD,"295,000",2/3/23,LIGHTNING RENTALS - WASH/DETAIL BUILDING,PLAN REVIEW $1193.00,XX051  055A,33.969065,-83.7958638
8,COMMERCIAL NEW BUILDING,990 LOGANVILLE HWY,"11,200,000",3/2/23,NGHS BETHLEHEM MOB,PLAN REVIEW  $3855.00,XX053  031H,33.9385809,-83.762409
9,COMMERCIAL NEW BUILDING,1570 UNIVERSITY DR,"350,000",12/6/23,70x150 METAL BUILDING WITH 30X30 LEAN-TO ( SHELL ONLY),LOT 7C  - PLAN REVEIW $1245.00,XX041B 008,33.969614,-83.826345
10,COMMERCIAL NEW BUILDING,85 MANNING GIN RD,0,4/18/23,99X69 FIRE STATION,FIRE STATION 3,BE06   099,33.9306569,-83.7082482
11,COMMERCIAL NEW BUILDING,985 HOG MOUNTAIN RD,"35,000,000",5/5/23,BETHLEHEM CHURCH MAIN CAMPUS - MAIN BUILDING,PLAN REVIEW $9105.00,XX107  006,33.959411,-83.6670989
12,COMMERCIAL NEW BUILDING,985 HOG MOUNTAIN RD,0,5/5/23,BETHLEHEM CHURCH / STUDENT BUILDING,,XX107  006,33.959411,-83.6670989
13,COMMERCIAL NEW BUILDING,548 CHRISTMAS AVE,"1,899,159",6/30/23,BETHLEHEM CHRISTIAN ACADEMY GYMNASIUM,,BE01  003,33.9464035,-83.7166757
14,COMMERCIAL NEW BUILDING,823 LOGANVILLE HWY,"750,000",7/18/23,PEACHTREE IMMEDIATE CARE / SHELL ONLY,PLAN REVIEW $505.00,XX072  010,33.9497571,-83.751474
15,RESIDENTIAL-MULTI FAMILY,840100 MUSCAT WAY ,"650,000",3/15/23,AVA BARROW CROSSING / BUILDING 5,UNIT 5F - 100 MUSCAT WAY,XX052  039,33.9536357,-83.7890832
16,RESIDENTIAL-MULTI FAMILY,110134 MUSCAT WAY ,"850,000",3/15/23,AVA BARROW CROSSING / BUILDING 6,6H - 134 MUSCAT WAY,XX052  039,33.9536357,-83.7890832
17,RESIDENTIAL-MULTI FAMILY,142166 MUSCAT WAY ,"750,000",3/15/23,TESSA BARROW / BLDG 7 / 7 UNITS,7G - 166 MUSCAT WAY,XX052  039,33.9536357,-83.7890832
18,RESIDENTIAL-MULTI FAMILY,174194 MUSCAT WAY ,"700,000",3/15/23,TESSA BARROW / BLDG 8 / 6 UNITS,8F - 194 MUSCAT WAY,XX052  039,33.9536357,-83.7890832
19,RESIDENTIAL-MULTI FAMILY,2026 CHARDONNAY CT ,"850,000",3/15/23,TESSA BARROW / BLDG 9 / 8 UNITS,9H - 26 CHARDONNAY CT,XX052  039,33.9531993,-83.7870668
20,RESIDENTIAL-MULTI FAMILY,34060 CHARDONNAY CT ,"950,000",3/15/23,TESSA BARROW / BLDG 10 / 6 UNITS,10F - 60 CHARDONNAY CT,XX052  039,33.9531993,-83.7870668
21,RESIDENTIAL-MULTI FAMILY,171183 BARBERA ST ,"550,000",3/15/23,AVA BARROW CROSSING / BLDG 24,4 UNITS,XX052  039,33.9522792,-83.7896898
22,RESIDENTIAL-MULTI FAMILY,113133 MUSCAT WAY ,"750,000",3/15/23,AVA BARROW CROSSING / BUILDING 25,25F - 133 MUSCAT WAY,XX052  039,33.9536357,-83.7890832
23,RESIDENTIAL-MULTI FAMILY,143169 MUSCAT WAY ,"950,000",3/15/23,TESSA BARROW  / BLDG 26 / UNIT 26G,169 MUSCAT WAY,XX052  039,33.9536357,-83.7890832
24,RESIDENTIAL-MULTI FAMILY,177197 MUSCAT WAY ,"950,000",3/15/23,TESSA BARROW  / BLDG 27,UNIT 27G - 197 MUSCAT WAY,XX052  039,33.9536357,-83.7890832
25,RESIDENTIAL-MULTI FAMILY,185203 DOLCETTO DR,0,6/13/23,BLDG 31 185-203 DOLCETTO DR,AVA BARROW CROSSING  6 UNITS,XX052  039,33.9529448,-83.7895744
26,RESIDENTIAL-MULTI FAMILY,209233 DOLCETTO DR,0,6/13/23,BLDG 30 / 209-233 DOLCETTO DR,AVA BARROW CROSSING   8 UNITS,XX052  039,33.9529448,-83.7895744
27,RESIDENTIAL-MULTI FAMILY,241265 DOLCETTO DR,0,6/13/23,BLDG 29 / 241-265 DOLCETTO DR,AVA BARROW CROSSING  / 8 UNITS,XX052  039,33.9529448,-83.7895744
28,RESIDENTIAL-MULTI FAMILY,275293 DOLCETTO DR,0,6/13/23,BLDG 28  / 275-293 DOLCETTO DR,AVA BARROW CROSSING - 6 UNITS,XX052  039,33.9529448,-83.7895744
29,RESIDENTIAL-MULTI FAMILY,151161 BARBERA ST,0,6/13/23,BLDG 23 / 151-161 BARBERA ST,AVA BARROW CROSSING  / 4 UNITS,XX052  039,33.9522792,-83.7896898
30,RESIDENTIAL-MULTI FAMILY,204226 DOLCETTO DR,0,6/13/23,BLDG 22  /  204-226 DOLCETTO DR,AVA BARROW CROSSING - 6 UNITS,XX052  039,33.9529448,-83.7895744
31,RESIDENTIAL-MULTI FAMILY,236252 DOLCETTO DR,0,6/13/23,BLDG 21 / 236-252 DOLCETTO DR,AVA BARROW CROSSING / 6 UNITS,XX052  039,33.9529448,-83.7895744
32,RESIDENTIAL-MULTI FAMILY,262278 DOLCETTO DR,0,6/13/23,BLDG 20 / 2662-278 DOLCETTO DR,TESSA BARROW CROSSING / 6 UNITS,XX052  039,33.9529448,-83.7895744
33,RESIDENTIAL-MULTI FAMILY,288306 DOLCETTO DR,0,6/13/23,BLDG 19 / 288-306 DOLCETTO DR,TESSA BARROW CROSSING / 6 UNITS,XX052  039,33.9529448,-83.7895744
34,RESIDENTIAL-MULTI FAMILY,116 DOLCETTO DR,0,6/13/23,TESSA BARROW  BUILDING 18,18H - 107 CHARDONNAY CT,XX052  039,33.9530016,-83.7904056
35,RESIDENTIAL-MULTI FAMILY,117141 CHARDONNAY CT,0,6/13/23,17H - 141 CHARDONNAY CT,TESSA BARROW / BLDG 17,XX052  039,33.9531993,-83.7870668
36,RESIDENTIAL-MULTI FAMILY,175151 CHARDONNAY CT,0,6/13/23,BLDG 16 / 175-151 CHARDONNAY CT,TESSA BARROW CROSSING  /  8 UNITS,XX052  039,33.9531993,-83.7870668
37,RESIDENTIAL-MULTI FAMILY,172178 CHARDONNAY CT,0,6/13/23,BLDG 15  / 172-178 CHARDONNAY CT,TESSA BARROW CROSSING / 4 UNITS,XX052  039,33.9531993,-83.7870668
38,RESIDENTIAL-MULTI FAMILY,156170 CHARDONNAY CT,0,6/13/23,BLDG 14 / 156-170 CHARDONNAY CT,TESSA BARROW /  8 UNITS,XX052  039,33.9531993,-83.7870668
39,RESIDENTIAL-MULTI FAMILY,132154 CHARDONNAY CT,0,6/13/23,BLDG 13 / 132-154 CHARDONNAY CT,TESSA BARROW / 8 UNITS,XX052  039,33.9531993,-83.7870668
40,RESIDENTIAL-MULTI FAMILY,100124 CHARDONNAY CT,0,6/13/23,12G - 124 CHARDONNAY CT,TESSA BARROW / 7 UNITS / BLDG 12,XX052  039,33.9531993,-83.7870668
41,RESIDENTIAL-MULTI FAMILY,68090 CHARDONNAY CT,0,6/13/23,TESSA BARROW / 7 UNITS / BLDG 11,11G -  90 CHARDONNAY CT,XX052  039,33.9531993,-83.7870668
42,RESIDENTIAL SINGLE FAMILY,353 BOGART JEFFERSON RD,"318,285",10/3/23,SINGLE FAMILY HOME,,XX129  020C,33.9671197,-83.5536183
43,RESIDENTIAL SINGLE FAMILY,1677 THOMAS DR,"308,055",1/13/23,SINGLE FAMILY HOME,,XX003  017,34.0623724,-83.8419835
44,RESIDENTIAL SINGLE FAMILY,550 RICE DR,"306,185",5/23/23,SINGLE FAMILY HOME,,XX027  031,34.05103,-83.836012
366,RESIDENTIAL SINGLE FAMILY,102 ELMARRY LANE,"127,545",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 12  PHASE 1A,XX053R  012,33.93920567,-83.7974235
46,RESIDENTIAL SINGLE FAMILY,2819 KESTREL DR,"271,810",3/6/23,SINGLE FAMILY HOME,GEORGIA CLUB  LOT 26,XX121E  026,33.9322158,-83.604358
47,RESIDENTIAL SINGLE FAMILY,562 VERSAILLES DR,"270,435",7/18/23,SINGLE FAMILY HOME,VERSAILLES  LOT 10,XX030B 010,34.042212,-83.803514
48,RESIDENTIAL SINGLE FAMILY,1405 JONES RD,"265,100",11/7/23,SINGLE FAMILY HOME,,XX124  009B,34.0321483,-83.5873975
49,RESIDENTIAL SINGLE FAMILY,1035 FLEEMAN RD,"264,000",2/9/24,SINGLE FAMILY HOME,,XX026  055E,34.0697866,-83.8219714
50,RESIDENTIAL SINGLE FAMILY,1017 FLEEMAN RD,"262,240",8/31/23,SINGLE FAMILY HOME,,XX026  055A,34.0618942,-83.8198308
51,RESIDENTIAL SINGLE FAMILY,1041 FLEEMAN RD,"261,965",1/24/24,SINGLE FAMILY HOME,,XX026  055F,34.0698001,-83.822
52,RESIDENTIAL SINGLE FAMILY,1021 FLEEMAN RD,"258,500",11/7/23,SINGLE FAMILY HOME,,XX026  055B,34.069755,-83.8219047
53,RESIDENTIAL SINGLE FAMILY,1809 HOG MOUNTAIN RD,"258,500",1/4/24,SINGLE FAMILY HOME,,XX121  049,33.9254864,-83.6149086
54,RESIDENTIAL SINGLE FAMILY,197 WESTMINSTER CT,"255,970",11/2/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 13,XX108M  013,33.9306713,-83.6439342
55,RESIDENTIAL SINGLE FAMILY,1850 SAUTERNE DR,"254,155",11/2/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 86B,XX026G 164,34.078696,-83.799795
56,RESIDENTIAL SINGLE FAMILY,552 VERSAILLES DR,"253,000",11/15/23,SINGLE FAMILY HOME,VERSAILLES  LOT 13,XX030B 013,34.041065,-83.803574
57,RESIDENTIAL SINGLE FAMILY,556 VERSAILLES DR,"253,000",11/15/23,SINGLE FAMILY HOME,VERSAILLES  LOT 12,XX030B 012,34.041361,-83.803138
58,RESIDENTIAL SINGLE FAMILY,563 VERSAILLES DR,"253,000",11/15/23,SINGLE FAMILY HOME,VERSAILLES  LOT 4,XX030B 004,34.042434,-83.802136
59,RESIDENTIAL SINGLE FAMILY,555 VERSAILLES DR,"253,000",11/15/23,SINGLE FAMILY HOME,VERSAILLES  LOT 2,XX030B 002,34.041029,-83.802144
60,RESIDENTIAL SINGLE FAMILY,1848 SAUTERNE DR,"244,695",11/2/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 85B,XX026G 163,34.078648,-83.800179
61,RESIDENTIAL SINGLE FAMILY,4530 LEGACY CT,"240,350",2/23/23,SINGLE FAMILY HOME,CHATEAU FOREST  LOT 62,XX026B 032,34.079654,-83.831233
62,RESIDENTIAL SINGLE FAMILY,376 KENNEDY SELLS RD,"240,240",3/10/23,SINGLE FAMILY HOME,,XX042  035E,33.9754322,-83.8062254
63,RESIDENTIAL SINGLE FAMILY,975 CHATEAU FOREST RD,"235,345",1/11/24,SINGLE FAMILY HOME,CHATEAU FOREST  LOT 94,XX026B 055,34.077882,-83.836492
64,RESIDENTIAL SINGLE FAMILY,287 LAKE VISTA DR,"233,860",1/23/24,SINGLE FAMILY HOME,VISTA MANOR  LOT 17,XX121J  017,33.9309559,-83.608182
65,RESIDENTIAL SINGLE FAMILY,550 VERSAILLES DR,"231,000",1/26/24,SINGLE FAMILY HOME,VERSAILLES  LOT 14,XX030B 014,34.040617,-83.803876
66,RESIDENTIAL SINGLE FAMILY,1499 CARL-BETHLEHEM RD,"231,000",2/2/23,SINGLE FAMILY HOME,,XX038  013,33.993088,-83.799706
67,RESIDENTIAL SINGLE FAMILY,1523 ALSACE WAY,"229,350",7/28/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 42A,XX026G 042,34.076591,-83.800859
68,RESIDENTIAL SINGLE FAMILY,1909 CHIANTI CT,"229,350",7/28/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 28B,XX026G 106,34.0735249,-83.808091
69,RESIDENTIAL SINGLE FAMILY,177 WESTMINSTER CT,"227,205",11/2/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 12,XX108M  012,33.9303852,-83.6439525
70,RESIDENTIAL SINGLE FAMILY,1852 SAUTERNE DR,"226,490",11/2/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 87B,XX026G 165,34.079005,-83.799548
71,RESIDENTIAL SINGLE FAMILY,867 CHAMPAGNE LANE,"226,490",1/19/24,SINGLE FAMILY HOME,THE SPRINGS  LOT 64A,XX026G 064,34.072389,-83.8026712
72,RESIDENTIAL SINGLE FAMILY,1225 OLDE LEXINGTON RD,"224,950",9/25/23,SINGLE FAMILY HOME,LEXINGTON MILL  LOT 6,XX047  021D,34.067105,-83.79397
73,RESIDENTIAL SINGLE FAMILY,989 BANDOL DR,"222,970",7/7/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 35A,XX026G 035,34.075384,-83.799161
74,RESIDENTIAL SINGLE FAMILY,984 BANDOL DR,"222,970",8/16/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 38A,XX026G 038,34.075461,-83.800406
75,RESIDENTIAL SINGLE FAMILY,1512 ALSACE WAY,"222,970",8/16/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 48A,XX026G 048,34.074621,-83.801619
76,RESIDENTIAL SINGLE FAMILY,1755 AMPHORA DR,"222,970",6/14/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 72B,XX026G 150,34.075553,-83.804951
77,RESIDENTIAL SINGLE FAMILY,1812 DAFFODILL CT,"221,100",4/20/23,SINGLE FAMILY HOME,COLES POND  LOT 27A,XX026H  027,34.062083,-83.8282
78,RESIDENTIAL SINGLE FAMILY,1144 LEXINGTON RIDGE RD,"220,000",1/12/24,SINGLE FAMILY HOME,LEXINGTON MILL  LOT 16,XX047  114,34.064675,-83.790013
79,RESIDENTIAL SINGLE FAMILY,244 PLEASANT HILL CHURCH RD NE,"220,000",4/28/23,SINGLE FAMILY HOME,SEGARS RD DRIVEWAY,XX105  084D,34.0076239,-83.6439977
80,RESIDENTIAL SINGLE FAMILY,902 INDIGO BUNTING RD,"217,635",3/6/23,SINGLE FAMILY HOME,GEORGIA CLUB  LOT 25,XX121E  025,33.932117,-83.601664
81,RESIDENTIAL SINGLE FAMILY,92 JEFFERSON RD,"210,925",12/5/23,SINGLE FAMILY HOME,,XX127  022C,33.980738,-83.574397
82,RESIDENTIAL SINGLE FAMILY,745 THAN SKINNER RD,"208,945",10/6/23,SINGLE FAMILY HOME,,XX057  001D,34.041761,-83.7554825
83,RESIDENTIAL SINGLE FAMILY,277 TANGLEWOOD RD,"208,010",11/3/23,SINGLE FAMILY HOME,,XX009  006C,34.0225327,-83.8549311
84,RESIDENTIAL SINGLE FAMILY,401 HARVEY LOKEY RD,"208,010",4/27/23,SINGLE FAMILY HOME,,XX076  034B,33.9305889,-83.7472198
85,RESIDENTIAL SINGLE FAMILY,27 GIFTON THOMAS RD,"208,010",6/27/23,SINGLE FAMILY HOME,THE MEADOWS  LOT 1,BE05B  001,33.9409483,-83.7128035
86,RESIDENTIAL SINGLE FAMILY,141 NEW CUT RD,"206,140",2/13/24,SINGLE FAMILY HOME,LINCOLN PARK  LOT 24,XX057D 024,34.041654,-83.748475
87,RESIDENTIAL SINGLE FAMILY,1655 GEORGIA CLUB DR,"205,590",1/23/24,SINGLE FAMILY HOME,VISTA MANOR  LOT 3,XX121J  003,33.933148,-83.6056002
88,RESIDENTIAL SINGLE FAMILY,417 TRALEE CT,"201,960",10/5/23,SINGLE FAMILY HOME,NORTH HILL  LOT 69,XX134E 069,33.946717,-83.59611
89,RESIDENTIAL SINGLE FAMILY,1653 GEORGIA CLUB DR,"197,945",1/23/24,SINGLE FAMILY HOME,VISTA MANOR  LOT 2,XX121J  002,33.9332569,-83.6056602
90,RESIDENTIAL SINGLE FAMILY,149 DUNAGAN COURT,"197,945",2/13/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 4,XX051F  004,33.9808008,-83.7796427
91,RESIDENTIAL SINGLE FAMILY,1251 BETHLEHEM RD,"195,140",6/8/23,SINGLE FAMILY HOME,,XX119  023B,33.9473885,-83.6219302
92,RESIDENTIAL SINGLE FAMILY,842 SMITH MILL RD,"194,975",1/31/24,SINGLE FAMILY HOME,SMITH MILL RD  LOT 3,XX108J  003,33.942301,-83.652258
93,RESIDENTIAL SINGLE FAMILY,852 SMITH MILL RD,"192,830",7/28/23,SINGLE FAMILY HOME,SMITH MILL RD  LOT 5,XX108J  005,33.942651,-83.651469
94,RESIDENTIAL SINGLE FAMILY,838 SMITH MILL RD,"192,830",1/31/24,SINGLE FAMILY HOME,SMITH MILL RD  LOT 2,XX108J  002,33.942132,-83.6526559
95,RESIDENTIAL SINGLE FAMILY,248 PLEASANT HILL CHURCH RD NE,"192,500",11/7/23,SINGLE FAMILY HOME,,XX105  084B,34.0076239,-83.6439977
96,RESIDENTIAL SINGLE FAMILY,549 DUNAHOO RD,"190,630",3/3/23,SINGLE FAMILY  HOME,,XX104  129,34.0249343,-83.662219
97,RESIDENTIAL SINGLE FAMILY,49 LAKEWOOD CIRCLE,"188,210",10/2/23,SINGLE FAMILY HOME,VISTA MANOR  LOT 6,XX121J  006,33.93202,-83.6060227
98,RESIDENTIAL SINGLE FAMILY,1651 GEORGIA CLUB DR,"188,210",11/6/23,SINGLE FAMILY HOME,VISTA MANOR  LOT 1,XX121J  001,33.9333651,-83.6057221
99,RESIDENTIAL SINGLE FAMILY,553 VERSAILLES DR,"188,100",10/2/23,SINGLE FAMILY HOME,VERSAILLES  LOT 1,XX030B 001,34.040616,-83.802995
100,RESIDENTIAL SINGLE FAMILY,853 DEE KENNEDY RD,"188,045",8/14/23,SINGLE FAMILY HOME,,XX049  347,34.032649,-83.793089
101,RESIDENTIAL SINGLE FAMILY,2465 RAT KINNEY RD,"187,000",8/30/23,SINGLE FAMILY HOME,,XX137E  002,33.9773315,-83.5561715
102,RESIDENTIAL SINGLE FAMILY,246 PLEASANT HILL CHURCH RD NE,"187,000",5/8/23,SINGLE FAMILY HOME,,XX105  084C,34.0076239,-83.6439977
103,RESIDENTIAL SINGLE FAMILY,1597 AUSTIN RD,"186,505",10/20/23,SINGLE FAMILY HOME,,XX122  007D,33.9177396,-83.639904
104,RESIDENTIAL SINGLE FAMILY,32 LAKE ELDER CIR,"185,515",9/21/23,SINGLE FAMILY HOME,,XX038A 024,33.9985239,-83.7980486
367,RESIDENTIAL SINGLE FAMILY,106 FEENEY ST,"127,545",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 49  PHASE 1A,XX053R  049,33.94030066,-83.79519518
458,RESIDENTIAL SINGLE FAMILY,108 ELMARRY LANE,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 13  PHASE 1A,XX053R  013,33.93907955,-83.79722955
107,RESIDENTIAL SINGLE FAMILY,834 SMITH MILL RD,"183,645",1/31/24,SINGLE FAMILY HOME,SMITH MILL ROAD  LOT 1,XX108J  001,33.941954,-83.653057
108,RESIDENTIAL SINGLE FAMILY,874 SMITH MILL RD,"183,645",6/14/23,SINGLE FAMILY HOME,SMITH MILL ROAD  LOT 10,XX108J  010,33.943497,-83.649489
109,RESIDENTIAL SINGLE FAMILY,382 CARL-CEDAR HILL RD,"182,985",8/25/23,SINGLE FAMILY HOME,,XX049  268,34.0208898,-83.7884296
110,RESIDENTIAL SINGLE FAMILY,1036 MONTROSE WAY,"182,160",7/7/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 45B,XX026G 123,34.0739779,-83.807828
111,RESIDENTIAL SINGLE FAMILY,1522 ALSACE WAY,"182,160",7/28/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 43A,XX026G 043,34.076592,-83.801492
112,RESIDENTIAL SINGLE FAMILY,111 DUNAGAN COURT,"179,410",2/13/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 3,XX051F  003,33.9808008,-83.7796427
113,RESIDENTIAL SINGLE FAMILY,1625 AUSTIN RD,"178,035",9/12/23,SINGLE FAMILY HOME,,XX122  007B,33.9165216,-83.6372248
114,RESIDENTIAL SINGLE FAMILY,281 TANGLEWOOD RD,"176,220",11/3/23,SINGLE FAMILY HOME,,XX009  006D,34.0225327,-83.8549311
115,RESIDENTIAL SINGLE FAMILY,43 GIFTON THOMAS RD,"176,220",6/1/23,SINGLE FAMILY HOME,THE MEADOWS  LOT 3,BE05B  003,33.94119,-83.7131878
116,RESIDENTIAL SINGLE FAMILY,57 GIFTON THOMAS RD,"176,220",6/1/23,SINGLE FAMILY HOME,THE MEADOWS  LOT 4,BE05B  004,33.9416767,-83.7116039
117,RESIDENTIAL SINGLE FAMILY,35 GIFTON THOMAS RD,"176,220",6/27/23,SINGLE FAMILY HOME,THE MEADOWS  LOT 2,BE05B  002,33.9409483,-83.7128035
118,RESIDENTIAL SINGLE FAMILY,330 HYDE PARK,"175,010",6/30/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 91,XX049J  091,34.016354,-83.75346
119,RESIDENTIAL SINGLE FAMILY,741 KNIGHTSBRIDGE LANE,"175,010",3/2/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 137,XX049J  137,34.016285,-83.7573187
120,RESIDENTIAL SINGLE FAMILY,1631 AUSTIN RD,"174,955",9/12/23,SINGLE FAMILY HOME,,XX122  007A,33.9165216,-83.6372248
121,RESIDENTIAL SINGLE FAMILY,1619 AUSTIN RD,"174,955",9/12/23,SINGLE FAMILY HOME,,XX122  007C,33.9165216,-83.6372248
122,RESIDENTIAL SINGLE FAMILY,83 BEECH CREEK CIRCLE,"174,955",1/19/24,SINGLE FAMILY HOME,,XX105  119G,34.003201,-83.6552627
123,RESIDENTIAL SINGLE FAMILY,1657 GEORGIA CLUB DR,"174,350",1/23/24,SINGLE FAMILY HOME,VISTA MANOR  LOT 4,XX121J  004,33.9330389,-83.6055408
124,RESIDENTIAL SINGLE FAMILY,75 BEECH CREEK CIRCLE,"173,250",9/1/23,SINGLE FAMILY HOME,,XX105  119F,34.0032602,-83.6546966
125,RESIDENTIAL SINGLE FAMILY,348 HYDE PARK,"172,205",6/30/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 88,XX049J  088,34.015894,-83.75319
126,RESIDENTIAL SINGLE FAMILY,774 KNIGHTSBRIDGE LANE,"172,205",7/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 144,XX049J  144,34.016285,-83.7573188
127,RESIDENTIAL SINGLE FAMILY,15 KNIGHTSBRIDGE LANE,"172,205",8/28/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 1,XX049J  001,34.015594,-83.758409
128,RESIDENTIAL SINGLE FAMILY,862 TOM MILLER RD,"172,205",12/12/23,SINGLE FAMILY HOME,,XX053  002D,33.9451665,-83.7914604
129,RESIDENTIAL SINGLE FAMILY,290 HYDE PARK,"172,205",4/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 95,XX049J  095,34.016793,-83.753834
130,RESIDENTIAL SINGLE FAMILY,1355 HWY 211 NE,"171,490",9/21/23,SINGLE FAMILY HOME,,XX111  033D,34.022896,-83.620253
131,RESIDENTIAL SINGLE FAMILY,846 SMITH MILL RD,"170,775",7/28/23,SINGLE FAMILY HOME,SMITH MILL RD  LOT 4,XX108J  004,33.942475,-83.651862
132,RESIDENTIAL SINGLE FAMILY,71 BEECH CREEK CIRCLE,"170,500",2/7/23,SINGLE FAMILY HOME,,XX105  119C,33.999526,-83.656447
133,RESIDENTIAL SINGLE FAMILY,1540 HWY 82,"170,005",2/2/23,SINGLE FAMILY HOME,,XX112  091C,34.0003813,-83.6117416
134,RESIDENTIAL SINGLE FAMILY,185 DUNAGAN COURT,"168,795",2/13/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 5,XX051F  005,33.9807807,-83.7795861
135,RESIDENTIAL SINGLE FAMILY,1215 ORA LEE LN,"166,980",5/25/23,SINGLE FAMILY HOME,SIMS CROSSING  LOT 25,XX104E 025,34.033186,-83.669842
136,RESIDENTIAL SINGLE FAMILY,886 CHAMPAGNE LN,"166,815",11/2/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 14B,XX026G 092,34.0718699,-83.8060519
137,RESIDENTIAL SINGLE FAMILY,1823 SAUTERNE DR,"166,815",11/16/23,SINGLE FAMILY HOME,THE SPRINGS  LOT 74A,XX026G 084,34.075846,-83.802998
138,RESIDENTIAL SINGLE FAMILY,988 BANDOL DR,"166,815",1/31/24,SINGLE FAMILY HOME,THE SPRINGS  LOT 36A,XX026G 036,34.0758439,-83.7996299
139,RESIDENTIAL SINGLE FAMILY,411 PENDERGRASS RD,"165,165",9/22/23,SINGLE FAMILY HOME,GASTON ACRES  LOT 403,XX084A 003,34.0209783,-83.6989267
140,RESIDENTIAL SINGLE FAMILY,1082 DEE KENNEDY RD,"165,000",1/17/24,SINGLE FAMILY HOME,JEMC,XX030  008,34.0415033,-83.8077904
141,RESIDENTIAL SINGLE FAMILY,440 WATSON RD,"162,525",1/24/24,SINGLE FAMILY HOME,,XX092  002B,33.9689511,-83.7133333
142,RESIDENTIAL SINGLE FAMILY,397 LAKE VISTA DR,"161,755",1/23/24,SINGLE FAMILY HOME,VISTA MANOR  LOT 24,XX121J  024,33.9297873,-83.6069569
143,RESIDENTIAL SINGLE FAMILY,241 RICHMOND DR,"161,425",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 20,XX120B  020,33.9500635,-83.5993727
144,RESIDENTIAL SINGLE FAMILY,25 RICHMOND DR,"161,425",2/2/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 46,XX102B  046,33.9485893,-83.6016784
145,RESIDENTIAL SINGLE FAMILY,200 RICHMOND DR,"161,425",4/5/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 15,XX120B  015,33.9501398,-83.6001572
146,RESIDENTIAL SINGLE FAMILY,226 RICHMOND DR,"161,425",4/17/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 17,XX120B  017,33.9502282,-83.599679
147,RESIDENTIAL SINGLE FAMILY,77 RICHMOND CIRCLE,"161,425",5/5/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 37,XX120B  037,33.9486073,-83.6007871
