,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
416,RESIDENTIAL SINGLE FAMILY,253 HYDE PARK,"124,960",3/29/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 76,XX049J  076,34.016944,-83.754716
417,RESIDENTIAL SINGLE FAMILY,230 HYDE PARK,"124,960",3/29/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 101,XX049J  101,34.017453,-83.7543929
418,RESIDENTIAL SINGLE FAMILY,275 HYDE PARK,"124,960",4/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 78,XX049J  078,34.016724,-83.75453
419,RESIDENTIAL SINGLE FAMILY,323 HYDE PARK,"124,960",6/1/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 83,XX049J  083,34.016174,-83.754064
420,RESIDENTIAL SINGLE FAMILY,310 HYDE PARK,"124,960",6/1/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 93,XX049J  093,34.016573,-83.753647
421,RESIDENTIAL SINGLE FAMILY,123 FINCH CT,"124,025",4/21/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 43,XX111P  043,34.0338498,-83.618126
422,RESIDENTIAL SINGLE FAMILY,17 FINCH CT,"124,025",6/6/23,SINGLE FAMILY HOME,FINCH LANDING  LOT 46,XX111P  046,34.0331273,-83.6170386
423,RESIDENTIAL SINGLE FAMILY,146 DAURIAN DR,"123,750",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 4,XX121H  004,33.9319486,-83.6259438
424,RESIDENTIAL SINGLE FAMILY,286 DAURIAN DR,"123,750",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 9,XX121H  009,33.9319486,-83.6259438
425,RESIDENTIAL SINGLE FAMILY,2749 BERKSHIRE DR,"123,750",9/21/23,SINGLE FAMILY HOME,BERKSHIRE PLACE  LOT 23,XX052K 023,33.9525587,-83.7942739
426,RESIDENTIAL SINGLE FAMILY,64 LAKE MEADOWS DR,"123,750",2/8/24,SINGLE FAMILY HOME,COSBY MEADOWS  LOT 55,XX106F  055,34.0053347,-83.7107095
427,RESIDENTIAL SINGLE FAMILY,40 LAKE MEADOWS DR,"123,750",2/8/24,SINGLE FAMILY HOME,COSBY MEADOWS  LOT 57,XX106F  057,34.0043126,-83.7095975
428,RESIDENTIAL SINGLE FAMILY,73 RICHMOND DR,"123,750",3/15/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 42,XX120B  042,33.9492384,-83.6017941
429,RESIDENTIAL SINGLE FAMILY,340 CONDOR CT,"123,750",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 140,XX121H  140,33.9321802,-83.6247577
430,RESIDENTIAL SINGLE FAMILY,370 CONDOR CT,"123,750",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 142,XX121H  142,33.9321802,-83.6247577
431,RESIDENTIAL SINGLE FAMILY,440 CONDOR CT,"123,750",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 147,XX121H  147,33.9321802,-83.6247577
432,RESIDENTIAL SINGLE FAMILY,472 CONDOR CT,"123,750",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 150,XX121H  150,33.9321802,-83.6247577
433,RESIDENTIAL SINGLE FAMILY,401 CONDOR CT,"123,750",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 154,XX121H  154,33.9321802,-83.6247577
434,RESIDENTIAL SINGLE FAMILY,359 CONDOR CT,"123,750",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT157,XX121H  157,33.9321802,-83.6247577
435,RESIDENTIAL SINGLE FAMILY,315 CONDOR CT,"123,750",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 160,XX121H  160,33.9321802,-83.6247577
105,RESIDENTIAL SINGLE FAMILY,27 BLAKE LANE,"185,295",2/13/24,SINGLE FAMILY HOME,AMELIA ACRES  LOT 1,XX049K  001,34.02755845,-83.77728132
437,RESIDENTIAL SINGLE FAMILY,20 DOOLEY DR,"123,640",12/18/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 28,XX120A  028,33.948414,-83.602661
438,RESIDENTIAL SINGLE FAMILY,2423 KUMBANAD CT,"123,200",3/31/23,SINGLE FAMILY HOME,KERALA  LOT 31A,XX121B 037,33.938857,-83.62561
439,RESIDENTIAL SINGLE FAMILY,211 RICHMOND DR,"122,760",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 22,XX120B  022,33.9500066,-83.5998691
440,RESIDENTIAL SINGLE FAMILY,49 RICHMOND DR,"122,760",2/2/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 44,XX120B  044,33.9489155,-83.6016865
